ppBal,ppSat,ppHib
57.83,70.83,59.67
58.33,73.00,60.67
57.83,72.00,61.17
57.67,72.17,62.00
57.17,71.50,60.50
57.83,70.17,59.50
57.67,70.83,60.67
57.50,72.17,59.67
58.50,72.67,61.00
58.00,71.50,61.00
57.17,71.17,61.50
58.17,72.33,61.00
57.83,72.33,60.83
57.17,72.50,60.83
59.67,73.83,62.00
55.33,70.50,59.67
57.67,70.83,60.33
58.00,71.67,60.67
58.17,71.67,60.50
55.67,72.00,60.00
57.17,71.50,61.17
59.17,72.50,60.83
57.83,72.17,61.33
58.50,72.00,61.17
56.83,72.50,61.67
58.83,72.50,61.83
57.50,72.83,60.83
58.00,72.17,60.67
57.83,72.00,59.83
58.50,71.83,59.50
