puBal,puSat,puHib
95.83,73.33,73.33
94.58,70.83,70.83
95.0,72.5,72.5
95.42,71.67,71.67
96.67,71.67,71.67
97.5,71.67,72.5
96.25,71.25,71.25
95.42,71.67,71.67
94.17,73.33,73.33
96.67,71.25,71.25
96.67,71.67,71.67
95.0,71.67,71.67
95.0,72.92,72.92
94.58,70.0,70.0
96.25,70.0,70.0
95.83,70.42,70.42
95.83,71.67,71.67
94.58,72.92,72.92
95.42,72.5,72.5
96.25,70.83,72.5
96.67,72.08,72.08
95.42,70.83,70.83
94.58,69.17,69.17
95.0,70.42,70.42
95.83,70.42,70.42
95.0,70.83,71.67
95.83,71.25,71.25
94.58,71.67,71.67
95.42,71.67,71.67
96.67,72.92,72.92
