ppBal,ppSat,ppHib
32.67,34.33,31.33
32.17,31.50,30.17
32.00,31.50,31.33
32.83,31.00,30.17
32.17,32.67,30.33
32.50,33.50,31.83
30.83,31.17,29.83
32.17,34.17,30.67
33.00,31.50,31.33
32.33,35.17,31.67
33.00,33.17,32.33
32.67,31.00,30.00
31.33,33.50,30.83
32.50,29.83,30.83
32.67,35.00,31.33
32.50,33.67,30.83
33.17,33.17,30.67
32.67,33.17,30.50
32.50,34.83,31.50
31.83,33.00,31.17
33.00,33.17,30.83
32.67,31.17,30.67
32.67,32.67,30.50
32.67,33.67,31.00
31.83,31.83,31.50
32.67,33.00,30.33
32.33,30.83,30.33
32.67,32.17,30.67
32.67,33.67,32.00
33.00,36.17,31.50
