puBal,puSat,puHib
100.00,77.50,77.50
100.00,78.33,78.33
100.00,77.50,77.50
100.00,76.67,76.67
100.00,77.50,77.50
100.00,78.33,78.33
100.00,75.83,75.83
100.00,77.50,77.50
100.00,77.50,77.50
100.00,78.33,78.33
100.00,77.50,77.50
100.00,76.67,76.67
100.00,78.33,78.33
100.00,75.00,75.00
100.00,77.50,77.50
100.00,76.67,76.67
100.00,77.50,77.50
100.00,79.17,79.17
100.00,79.17,79.17
100.00,78.33,78.33
100.00,77.50,77.50
100.00,75.83,75.83
100.00,79.17,79.17
100.00,77.50,77.50
100.00,77.50,77.50
100.00,77.50,77.50
100.00,77.50,77.50
100.00,76.67,76.67
100.00,78.33,78.33
100.00,78.33,78.33
